epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.494,1.22647,4.64973,1.64456,0.14767,0.24837,0.11349,0.07644,1.21472,6.45945,1.71887,0.000141463,0.000141463,0.000141463
2,713.054,1.18612,3.32769,1.54364,0.16344,0.3233,0.15781,0.09796,1.3399,5.18148,1.80383,0.000280791,0.000280791,0.000280791
3,1023.36,1.22629,2.85968,1.5616,0.59642,0.25773,0.18692,0.10568,1.45881,4.6822,1.91597,0.000414377,0.000414377,0.000414377
4,1493.01,1.20091,2.74477,1.5228,0.27092,0.40752,0.22496,0.12282,1.4362,3.97378,1.97311,0.000409161,0.000409161,0.000409161
5,2457.2,1.24741,2.55286,1.56854,0.39073,0.24563,0.20311,0.13612,1.45311,3.42689,1.94899,0.000400548,0.000400548,0.000400548
6,2954.32,1.20908,2.30751,1.51119,0.30549,0.4076,0.30132,0.17476,1.4132,2.87272,1.84496,0.000391935,0.000391935,0.000391935
7,3270.49,1.18567,2.2075,1.50332,0.22398,0.44475,0.28027,0.17724,1.32106,2.94836,1.80955,0.000383322,0.000383322,0.000383322
8,3580.9,1.16587,2.12113,1.47527,0.27803,0.36598,0.31659,0.19338,1.32743,2.99347,1.79573,0.000374709,0.000374709,0.000374709
9,3893.71,1.19318,2.08552,1.52381,0.52697,0.29962,0.29192,0.18164,1.36427,2.62759,1.78587,0.000366096,0.000366096,0.000366096
10,4216.75,1.12105,1.96972,1.46749,0.39318,0.42111,0.36017,0.24742,1.22381,2.3439,1.70209,0.000357483,0.000357483,0.000357483
11,4538.08,1.15684,1.98299,1.46573,0.37828,0.47664,0.33855,0.22261,1.26668,2.46716,1.72532,0.00034887,0.00034887,0.00034887
12,4855.92,1.11734,1.90001,1.47675,0.45282,0.40952,0.39804,0.26754,1.26122,2.23849,1.68681,0.000340257,0.000340257,0.000340257
13,5180.76,1.07924,1.79325,1.4069,0.37499,0.40314,0.35667,0.23387,1.27089,2.30573,1.68344,0.000331644,0.000331644,0.000331644
14,5519.3,1.04532,1.7444,1.40321,0.62262,0.39248,0.44757,0.28228,1.30363,2.15292,1.74103,0.000323031,0.000323031,0.000323031
15,5836,1.09105,1.68823,1.46425,0.42065,0.41274,0.40527,0.29503,1.22547,2.33852,1.73132,0.000314418,0.000314418,0.000314418
16,6154.82,1.07037,1.63606,1.41073,0.49509,0.38179,0.39656,0.26668,1.30133,2.26849,1.74661,0.000305805,0.000305805,0.000305805
17,6470.75,1.03535,1.56087,1.37482,0.42128,0.44084,0.41134,0.26944,1.25957,2.12681,1.71702,0.000297192,0.000297192,0.000297192
18,6786.39,1.01442,1.52077,1.37769,0.35572,0.50415,0.44777,0.30217,1.22707,2.02491,1.71398,0.000288579,0.000288579,0.000288579
19,7110.13,1.02437,1.47255,1.37775,0.4252,0.43587,0.43441,0.27725,1.28994,2.19758,1.72973,0.000279966,0.000279966,0.000279966
20,7424.86,0.96127,1.37037,1.34673,0.37883,0.478,0.43969,0.29262,1.23898,2.0278,1.71597,0.000271353,0.000271353,0.000271353
21,7996.57,1.02471,1.349,1.4553,0.46413,0.40382,0.38971,0.26104,1.30017,2.27531,1.8177,0.00026274,0.00026274,0.00026274
22,8813.51,0.96309,1.36187,1.33121,0.50556,0.41748,0.44998,0.30443,1.21799,2.08313,1.70296,0.000254127,0.000254127,0.000254127
23,9163.61,0.97815,1.38738,1.37714,0.48559,0.4572,0.46865,0.32528,1.18047,1.92219,1.62231,0.000245514,0.000245514,0.000245514
24,9569.36,0.91284,1.30857,1.30992,0.3646,0.47544,0.38175,0.26937,1.17612,2.16023,1.64728,0.000236901,0.000236901,0.000236901
25,9890.84,0.88279,1.24004,1.27248,0.4299,0.49519,0.43227,0.301,1.17729,1.98905,1.63682,0.000228288,0.000228288,0.000228288
26,10213.2,0.89838,1.16668,1.2919,0.4495,0.47668,0.45643,0.3191,1.19411,1.98281,1.6915,0.000219675,0.000219675,0.000219675
27,10529.5,0.8934,1.16028,1.28549,0.46742,0.41578,0.42285,0.29257,1.21153,2.24617,1.69551,0.000211062,0.000211062,0.000211062
28,10844.8,0.86875,1.11362,1.29995,0.51765,0.42944,0.44453,0.31074,1.17242,1.99266,1.64829,0.000202449,0.000202449,0.000202449
29,11164.8,0.85472,1.06024,1.26166,0.52576,0.47383,0.47613,0.3369,1.21427,1.9233,1.68673,0.000193836,0.000193836,0.000193836
30,11489.1,0.82112,1.03023,1.2236,0.44202,0.49466,0.45094,0.32659,1.18103,1.96558,1.66016,0.000185223,0.000185223,0.000185223
31,11799.8,0.83152,0.98542,1.20781,0.57258,0.45501,0.48708,0.34567,1.16229,1.9648,1.67776,0.00017661,0.00017661,0.00017661
32,12112.4,0.81246,0.98799,1.2097,0.50972,0.43521,0.44776,0.30474,1.2275,2.02547,1.72034,0.000167997,0.000167997,0.000167997
33,12422.7,0.78367,0.94194,1.19801,0.54593,0.41915,0.45658,0.31272,1.22547,1.9271,1.71529,0.000159384,0.000159384,0.000159384
34,12730,0.77932,0.89277,1.19578,0.46356,0.4398,0.44595,0.30131,1.23042,2.068,1.72697,0.000150771,0.000150771,0.000150771
35,13036.5,0.76608,0.86587,1.19132,0.45037,0.51585,0.48272,0.3319,1.1784,1.94314,1.65482,0.000142158,0.000142158,0.000142158
36,13343.8,0.76866,0.83898,1.18856,0.51047,0.44227,0.47231,0.3195,1.18333,1.9897,1.6586,0.000133545,0.000133545,0.000133545
37,13651.1,0.74092,0.79698,1.1759,0.45143,0.50888,0.47386,0.32893,1.20175,1.99678,1.67607,0.000124932,0.000124932,0.000124932
38,13957.7,0.75037,0.81194,1.18327,0.4548,0.50207,0.47869,0.3414,1.17394,1.97889,1.65071,0.000116319,0.000116319,0.000116319
39,14263.9,0.7526,0.79619,1.18172,0.46341,0.48852,0.4574,0.32537,1.20875,1.95621,1.66287,0.000107706,0.000107706,0.000107706
40,14568.7,0.70082,0.77935,1.14924,0.50303,0.47216,0.4905,0.3347,1.23389,1.92604,1.72409,9.9093e-05,9.9093e-05,9.9093e-05
41,14872.7,0.62712,0.64705,1.1177,0.48234,0.46854,0.46605,0.32903,1.26718,2.04379,1.77085,9.048e-05,9.048e-05,9.048e-05
42,15171.5,0.59945,0.60975,1.11396,0.5905,0.40847,0.46995,0.33425,1.21438,2.05406,1.71553,8.1867e-05,8.1867e-05,8.1867e-05
43,15471.3,0.58608,0.53418,1.10259,0.49445,0.45921,0.47783,0.34694,1.18568,1.96334,1.70214,7.3254e-05,7.3254e-05,7.3254e-05
44,15773.6,0.56957,0.5617,1.10385,0.56439,0.42433,0.48027,0.33438,1.21142,1.96541,1.71224,6.4641e-05,6.4641e-05,6.4641e-05
45,16076.6,0.57752,0.54916,1.1141,0.53093,0.44761,0.48377,0.33007,1.23269,2.00184,1.73074,5.6028e-05,5.6028e-05,5.6028e-05
46,16381.4,0.52057,0.52132,1.04447,0.44972,0.51077,0.48895,0.33046,1.23424,1.98777,1.73276,4.7415e-05,4.7415e-05,4.7415e-05
47,16687.6,0.51003,0.46993,1.05173,0.53507,0.43535,0.47266,0.33419,1.22422,2.01445,1.72408,3.8802e-05,3.8802e-05,3.8802e-05
48,16994.1,0.51485,0.48599,1.04458,0.563,0.43855,0.46976,0.3314,1.25003,2.01599,1.74644,3.0189e-05,3.0189e-05,3.0189e-05
49,67890.1,0.49396,0.53434,1.02888,0.45859,0.4982,0.46478,0.32581,1.24945,2.06187,1.74948,2.1576e-05,2.1576e-05,2.1576e-05
50,68200,0.48982,0.4926,1.03084,0.48931,0.46138,0.46781,0.32471,1.26278,2.05785,1.7639,1.2963e-05,1.2963e-05,1.2963e-05
